User ID,Vehicle Model,Charging Station Location,Vehicle Age (years),Charger Type,User Type
User_42,Tesla Model 3,Houston,2.941663235,Level 2,Commuter
User_43,BMW i3,Houston,4,Level 1,Commuter
User_44,Nissan Leaf,San Francisco,1,DC Fast Charger,Casual Driver
User_45,Nissan Leaf,Los Angeles,3.680052856,Level 2,Long-Distance Traveler
User_46,Tesla Model 3,Los Angeles,1,DC Fast Charger,Commuter
User_47,Nissan Leaf,San Francisco,5,Level 1,Commuter
User_48,Hyundai Kona,Chicago,0,Level 2,Commuter
User_49,Nissan Leaf,Los Angeles,1,Level 1,Casual Driver
User_50,BMW i3,New York,6,Level 2,Long-Distance Traveler
User_51,BMW i3,San Francisco,2.616332483,DC Fast Charger,Casual Driver
User_52,BMW i3,Los Angeles,3,Level 1,Commuter
User_53,BMW i3,Chicago,0,Level 2,Long-Distance Traveler
User_54,Hyundai Kona,Los Angeles,5,DC Fast Charger,Long-Distance Traveler
User_55,Chevy Bolt,Houston,4,DC Fast Charger,Casual Driver
User_56,Tesla Model 3,New York,0,DC Fast Charger,Casual Driver
User_57,BMW i3,San Francisco,2,Level 2,Commuter
User_58,Nissan Leaf,Houston,3,DC Fast Charger,Casual Driver
User_59,BMW i3,Chicago,7,DC Fast Charger,Casual Driver
User_60,Nissan Leaf,Houston,5,Level 2,Casual Driver
User_61,Nissan Leaf,Houston,7,Level 1,Casual Driver
User_62,BMW i3,Chicago,7,DC Fast Charger,Casual Driver
User_63,Hyundai Kona,Houston,1,Level 2,Commuter
User_64,Nissan Leaf,San Francisco,0,Level 1,Long-Distance Traveler
User_65,Nissan Leaf,Los Angeles,2.591851328,DC Fast Charger,Casual Driver
User_66,BMW i3,Houston,7,Level 2,Long-Distance Traveler
User_67,Nissan Leaf,San Francisco,2,Level 2,Long-Distance Traveler
User_68,Nissan Leaf,Los Angeles,6,DC Fast Charger,Casual Driver
User_69,BMW i3,Los Angeles,7,Level 1,Casual Driver
User_70,BMW i3,Houston,4.122767457,Level 1,Long-Distance Traveler
User_71,Tesla Model 3,San Francisco,2.771346484,Level 1,Commuter
User_72,Hyundai Kona,Houston,1,DC Fast Charger,Long-Distance Traveler
User_73,Hyundai Kona,Chicago,3,DC Fast Charger,Commuter
User_74,Nissan Leaf,Los Angeles,2,Level 1,Long-Distance Traveler
User_75,Hyundai Kona,Houston,4,Level 1,Casual Driver
User_76,Nissan Leaf,Los Angeles,4,Level 1,Commuter
User_77,Tesla Model 3,San Francisco,0,Level 1,Long-Distance Traveler
User_78,BMW i3,New York,3,Level 2,Commuter
User_79,BMW i3,Houston,1,DC Fast Charger,Casual Driver
User_80,BMW i3,Houston,0,Level 1,Commuter
User_81,Hyundai Kona,Los Angeles,7,Level 2,Casual Driver
User_82,Tesla Model 3,San Francisco,6,Level 1,Casual Driver
User_83,Hyundai Kona,Chicago,3,Level 1,Commuter
User_84,Hyundai Kona,San Francisco,1,Level 2,Casual Driver
User_85,Tesla Model 3,Houston,1,Level 1,Casual Driver
User_86,Tesla Model 3,Chicago,3,Level 1,Casual Driver
User_87,Tesla Model 3,San Francisco,3,Level 2,Commuter
User_88,Tesla Model 3,New York,2,Level 2,Casual Driver
User_89,BMW i3,Los Angeles,1,Level 2,Long-Distance Traveler
User_90,Chevy Bolt,San Francisco,7,Level 2,Casual Driver
User_91,Chevy Bolt,San Francisco,0,Level 2,Long-Distance Traveler
User_92,Tesla Model 3,New York,4,Level 1,Commuter
User_93,Chevy Bolt,Houston,6,DC Fast Charger,Long-Distance Traveler
User_94,Chevy Bolt,Los Angeles,3,Level 2,Casual Driver
User_95,Tesla Model 3,San Francisco,7,DC Fast Charger,Casual Driver
User_96,Chevy Bolt,Chicago,5,Level 1,Casual Driver
User_97,Hyundai Kona,San Francisco,0,Level 2,Casual Driver
User_98,Nissan Leaf,Los Angeles,7,DC Fast Charger,Casual Driver
User_99,Nissan Leaf,San Francisco,0.925276661,DC Fast Charger,Casual Driver
User_100,Tesla Model 3,New York,7,DC Fast Charger,Commuter
User_101,BMW i3,San Francisco,3,DC Fast Charger,Casual Driver
User_102,Tesla Model 3,San Francisco,0,DC Fast Charger,Long-Distance Traveler
User_103,BMW i3,Chicago,4,Level 2,Long-Distance Traveler
User_104,Nissan Leaf,New York,1,Level 2,Long-Distance Traveler
User_105,Tesla Model 3,New York,6,Level 2,Commuter
User_106,Hyundai Kona,San Francisco,6,DC Fast Charger,Long-Distance Traveler
User_107,Chevy Bolt,Chicago,6,DC Fast Charger,Long-Distance Traveler
User_108,BMW i3,San Francisco,6,Level 1,Long-Distance Traveler
User_109,Chevy Bolt,San Francisco,3,DC Fast Charger,Commuter
User_110,Chevy Bolt,Los Angeles,5,Level 1,Long-Distance Traveler
User_111,Tesla Model 3,Los Angeles,5,Level 1,Long-Distance Traveler
User_112,Chevy Bolt,Chicago,5,Level 2,Commuter
User_113,Hyundai Kona,Houston,1,DC Fast Charger,Casual Driver
User_114,Chevy Bolt,Los Angeles,5,DC Fast Charger,Long-Distance Traveler
User_115,Tesla Model 3,Houston,5,Level 1,Casual Driver
User_116,Hyundai Kona,New York,3,Level 1,Long-Distance Traveler
User_117,Nissan Leaf,Los Angeles,7,DC Fast Charger,Commuter
User_118,Chevy Bolt,Los Angeles,2,Level 1,Casual Driver
User_119,Tesla Model 3,Chicago,7,DC Fast Charger,Commuter
User_120,Nissan Leaf,Houston,1,DC Fast Charger,Casual Driver
User_121,Nissan Leaf,Los Angeles,6,Level 1,Commuter
User_122,BMW i3,Los Angeles,6,Level 2,Casual Driver
User_123,Hyundai Kona,Chicago,3,DC Fast Charger,Casual Driver
User_124,Chevy Bolt,Chicago,6,Level 1,Casual Driver
User_125,Tesla Model 3,Houston,2,Level 1,Long-Distance Traveler
User_126,BMW i3,New York,1,Level 1,Casual Driver
User_127,Hyundai Kona,New York,1,DC Fast Charger,Casual Driver
User_128,BMW i3,San Francisco,1.750299407,DC Fast Charger,Long-Distance Traveler
User_129,Hyundai Kona,Los Angeles,2,DC Fast Charger,Long-Distance Traveler
User_130,Hyundai Kona,Houston,4,Level 1,Commuter
User_131,Chevy Bolt,Los Angeles,3,Level 2,Commuter
User_132,Hyundai Kona,Houston,7,Level 2,Long-Distance Traveler
User_133,BMW i3,Houston,6,DC Fast Charger,Long-Distance Traveler
User_134,Hyundai Kona,Houston,2.778246566,DC Fast Charger,Long-Distance Traveler
User_135,Chevy Bolt,Los Angeles,7,DC Fast Charger,Long-Distance Traveler
User_136,Chevy Bolt,Chicago,7,Level 2,Long-Distance Traveler
User_137,BMW i3,Los Angeles,6,Level 2,Commuter
User_138,Nissan Leaf,Houston,1,DC Fast Charger,Long-Distance Traveler
User_139,Nissan Leaf,San Francisco,4,Level 1,Long-Distance Traveler
User_140,Hyundai Kona,New York,1,Level 2,Commuter
User_141,Tesla Model 3,Houston,4,DC Fast Charger,Casual Driver
User_142,Hyundai Kona,San Francisco,6,Level 2,Commuter
User_143,BMW i3,Chicago,6,Level 1,Commuter
User_144,BMW i3,Houston,7,Level 1,Long-Distance Traveler
User_145,BMW i3,San Francisco,0,Level 2,Casual Driver
User_146,BMW i3,Houston,6,DC Fast Charger,Commuter
User_147,BMW i3,Los Angeles,7,Level 2,Casual Driver
User_148,Chevy Bolt,San Francisco,1,DC Fast Charger,Commuter
User_149,Nissan Leaf,Los Angeles,5,Level 2,Long-Distance Traveler
User_150,BMW i3,Los Angeles,0,Level 1,Commuter
User_151,Tesla Model 3,San Francisco,4,Level 2,Commuter
User_152,Tesla Model 3,New York,6,DC Fast Charger,Commuter
User_153,Tesla Model 3,San Francisco,3,DC Fast Charger,Casual Driver
User_154,Tesla Model 3,New York,0,Level 1,Casual Driver
User_155,Chevy Bolt,Houston,4,DC Fast Charger,Long-Distance Traveler
User_156,Tesla Model 3,Houston,3,DC Fast Charger,Casual Driver
User_157,BMW i3,San Francisco,3,Level 1,Casual Driver
User_158,Hyundai Kona,Houston,3,DC Fast Charger,Casual Driver
User_159,Tesla Model 3,Chicago,3,DC Fast Charger,Long-Distance Traveler
User_160,Chevy Bolt,Los Angeles,6.644424525,Level 2,Long-Distance Traveler
User_161,Chevy Bolt,Los Angeles,6,Level 2,Long-Distance Traveler
User_162,Tesla Model 3,New York,1.803488242,Level 2,Long-Distance Traveler
User_163,Hyundai Kona,Houston,1,Level 2,Commuter
User_164,Tesla Model 3,New York,1,Level 2,Long-Distance Traveler
User_165,Chevy Bolt,Los Angeles,6,Level 2,Long-Distance Traveler
User_166,Nissan Leaf,Los Angeles,0.674947023,Level 2,Commuter
User_167,BMW i3,Houston,5,Level 1,Commuter
User_168,Chevy Bolt,Chicago,6,Level 2,Casual Driver
User_169,Tesla Model 3,Chicago,4,DC Fast Charger,Casual Driver
User_170,BMW i3,Houston,7,Level 1,Long-Distance Traveler
User_171,Tesla Model 3,Houston,1,Level 2,Casual Driver
User_172,Tesla Model 3,New York,5,Level 2,Commuter
User_173,Nissan Leaf,Houston,7,DC Fast Charger,Casual Driver
User_174,BMW i3,Chicago,2,Level 1,Casual Driver
User_175,BMW i3,Houston,5,DC Fast Charger,Long-Distance Traveler
User_176,Nissan Leaf,New York,2,DC Fast Charger,Commuter
User_177,Chevy Bolt,New York,7.690884188,Level 1,Commuter
User_178,Tesla Model 3,New York,0,DC Fast Charger,Casual Driver
User_179,Hyundai Kona,New York,2,Level 1,Casual Driver
User_180,Tesla Model 3,San Francisco,7,DC Fast Charger,Casual Driver
User_181,Tesla Model 3,Houston,5,Level 1,Long-Distance Traveler
User_182,Chevy Bolt,Los Angeles,6,Level 2,Casual Driver
User_183,Tesla Model 3,Houston,5,Level 1,Casual Driver
User_184,Nissan Leaf,San Francisco,5,DC Fast Charger,Long-Distance Traveler
User_185,Nissan Leaf,New York,6,DC Fast Charger,Commuter
User_186,BMW i3,San Francisco,6,Level 2,Long-Distance Traveler
User_187,Hyundai Kona,Chicago,2,Level 2,Casual Driver
User_188,Tesla Model 3,Chicago,2,Level 2,Casual Driver
User_189,Tesla Model 3,Houston,1,Level 1,Commuter
User_190,Chevy Bolt,Houston,5,Level 1,Long-Distance Traveler
User_191,Nissan Leaf,Los Angeles,0,Level 1,Casual Driver
User_192,Hyundai Kona,Los Angeles,0,Level 1,Commuter
User_193,BMW i3,Chicago,5,Level 1,Casual Driver
User_194,Nissan Leaf,New York,3,DC Fast Charger,Commuter
User_195,BMW i3,San Francisco,7,DC Fast Charger,Casual Driver
User_196,Chevy Bolt,Los Angeles,6,DC Fast Charger,Casual Driver
User_197,Chevy Bolt,Los Angeles,0,Level 1,Commuter
User_198,Tesla Model 3,New York,3,Level 2,Commuter
User_199,Hyundai Kona,New York,3,DC Fast Charger,Casual Driver
User_200,BMW i3,Houston,1,DC Fast Charger,Commuter
User_201,Nissan Leaf,San Francisco,4,Level 1,Casual Driver
User_202,Chevy Bolt,New York,6.455612284,Level 1,Casual Driver
User_203,Tesla Model 3,Los Angeles,2,Level 1,Long-Distance Traveler
User_204,Tesla Model 3,Los Angeles,0,DC Fast Charger,Casual Driver
User_205,BMW i3,Chicago,2.007640589,Level 2,Casual Driver
User_206,Chevy Bolt,New York,3.281116643,Level 1,Commuter
User_207,Hyundai Kona,Houston,7,Level 1,Long-Distance Traveler
User_208,Chevy Bolt,San Francisco,6,Level 2,Commuter
User_209,BMW i3,Houston,6,Level 2,Commuter
User_210,BMW i3,Los Angeles,1,Level 2,Casual Driver
User_211,Chevy Bolt,Houston,5,Level 1,Casual Driver
User_212,BMW i3,Los Angeles,2,Level 1,Casual Driver
User_213,Chevy Bolt,Los Angeles,7,DC Fast Charger,Commuter
User_214,Nissan Leaf,Los Angeles,2,DC Fast Charger,Commuter
User_215,Chevy Bolt,Los Angeles,1.888037483,DC Fast Charger,Casual Driver
User_216,Chevy Bolt,Los Angeles,7,DC Fast Charger,Commuter
User_217,BMW i3,Chicago,5,DC Fast Charger,Long-Distance Traveler
User_218,BMW i3,Houston,6,DC Fast Charger,Long-Distance Traveler
User_219,Tesla Model 3,Chicago,3,Level 1,Long-Distance Traveler
User_220,Tesla Model 3,Chicago,4,DC Fast Charger,Commuter
User_221,Nissan Leaf,New York,7,Level 1,Long-Distance Traveler
User_222,Tesla Model 3,New York,4,Level 1,Casual Driver
User_223,Chevy Bolt,New York,4,Level 2,Casual Driver
User_224,BMW i3,San Francisco,0,Level 1,Casual Driver
User_225,Tesla Model 3,New York,3,Level 1,Long-Distance Traveler
User_226,Tesla Model 3,Houston,7,Level 1,Long-Distance Traveler
User_227,Nissan Leaf,Chicago,4,Level 2,Commuter
User_228,Nissan Leaf,Houston,7,Level 1,Casual Driver
User_229,Chevy Bolt,New York,5,Level 2,Commuter
User_230,BMW i3,San Francisco,0,DC Fast Charger,Long-Distance Traveler
User_231,Nissan Leaf,San Francisco,0,Level 1,Commuter
User_232,Tesla Model 3,Chicago,0,DC Fast Charger,Casual Driver
User_233,BMW i3,Houston,0,Level 1,Commuter
User_234,BMW i3,Los Angeles,5,Level 2,Commuter
User_235,Tesla Model 3,Houston,3,DC Fast Charger,Long-Distance Traveler
User_236,Nissan Leaf,New York,3,Level 1,Long-Distance Traveler
User_237,Tesla Model 3,Los Angeles,0,Level 1,Long-Distance Traveler
User_238,BMW i3,San Francisco,2,Level 2,Long-Distance Traveler
User_239,Hyundai Kona,Chicago,6,Level 1,Casual Driver
User_240,Hyundai Kona,Chicago,6,DC Fast Charger,Casual Driver
User_241,Chevy Bolt,San Francisco,5,Level 2,Commuter
User_242,Tesla Model 3,New York,1,DC Fast Charger,Casual Driver
User_243,Tesla Model 3,San Francisco,3,DC Fast Charger,Commuter
User_244,Chevy Bolt,New York,3.969244032,Level 1,Long-Distance Traveler
User_245,Chevy Bolt,Los Angeles,2,Level 1,Commuter
User_246,Chevy Bolt,San Francisco,7,Level 2,Commuter
User_247,BMW i3,New York,6,Level 2,Casual Driver
User_248,Tesla Model 3,Los Angeles,5,Level 2,Commuter
User_249,BMW i3,San Francisco,2,DC Fast Charger,Casual Driver
User_250,Chevy Bolt,Chicago,6,DC Fast Charger,Commuter
User_251,Tesla Model 3,San Francisco,1,DC Fast Charger,Casual Driver
User_252,BMW i3,Houston,3,DC Fast Charger,Long-Distance Traveler
User_253,BMW i3,San Francisco,3,Level 1,Casual Driver
User_254,Chevy Bolt,Houston,1,Level 2,Long-Distance Traveler
User_255,Tesla Model 3,Los Angeles,3,Level 1,Casual Driver
User_256,Chevy Bolt,San Francisco,0,Level 1,Long-Distance Traveler
User_257,Tesla Model 3,Los Angeles,7,DC Fast Charger,Long-Distance Traveler
User_258,Hyundai Kona,Los Angeles,0,Level 2,Casual Driver
User_259,Nissan Leaf,New York,5,DC Fast Charger,Long-Distance Traveler
User_260,Nissan Leaf,Los Angeles,4,DC Fast Charger,Commuter
User_261,Nissan Leaf,Los Angeles,6,Level 2,Commuter
User_262,Chevy Bolt,San Francisco,7,Level 2,Long-Distance Traveler
User_263,Hyundai Kona,San Francisco,3,Level 1,Long-Distance Traveler
User_264,Tesla Model 3,Chicago,5,DC Fast Charger,Long-Distance Traveler
User_265,BMW i3,New York,7,DC Fast Charger,Casual Driver
User_266,Tesla Model 3,Los Angeles,6,DC Fast Charger,Commuter
User_267,BMW i3,New York,2,Level 2,Long-Distance Traveler
User_268,Tesla Model 3,Houston,7,DC Fast Charger,Long-Distance Traveler
User_269,Hyundai Kona,Los Angeles,7,DC Fast Charger,Casual Driver
User_270,BMW i3,New York,4,DC Fast Charger,Commuter
User_271,Chevy Bolt,Chicago,5,DC Fast Charger,Long-Distance Traveler
User_272,Tesla Model 3,Chicago,4,Level 1,Commuter
User_273,Tesla Model 3,Los Angeles,4,Level 2,Casual Driver
User_274,BMW i3,Houston,5,Level 1,Commuter
User_275,Chevy Bolt,Chicago,3,Level 2,Long-Distance Traveler
User_276,Chevy Bolt,Chicago,4,DC Fast Charger,Long-Distance Traveler
User_277,Hyundai Kona,Houston,3,Level 2,Commuter
User_278,Chevy Bolt,New York,7,Level 1,Casual Driver
User_279,Chevy Bolt,Chicago,5,DC Fast Charger,Casual Driver
User_280,Chevy Bolt,San Francisco,1,Level 1,Casual Driver
User_281,Nissan Leaf,Chicago,7,Level 1,Casual Driver
User_282,Hyundai Kona,New York,6,Level 1,Long-Distance Traveler
User_283,Tesla Model 3,New York,1,Level 2,Commuter
User_284,BMW i3,Los Angeles,0,Level 1,Long-Distance Traveler
User_285,Tesla Model 3,San Francisco,7.51530869,Level 2,Commuter
User_286,Hyundai Kona,New York,0,Level 1,Commuter
User_287,BMW i3,Houston,7,Level 1,Casual Driver
User_288,Hyundai Kona,San Francisco,7,Level 2,Casual Driver
User_289,Chevy Bolt,San Francisco,0,Level 2,Commuter
User_290,BMW i3,Houston,2,Level 1,Commuter
User_291,Chevy Bolt,Chicago,5,Level 1,Commuter
User_292,Tesla Model 3,Houston,2,DC Fast Charger,Long-Distance Traveler
User_293,Tesla Model 3,Houston,1,Level 1,Commuter
User_294,BMW i3,Chicago,3,Level 1,Long-Distance Traveler
User_295,BMW i3,Chicago,3,DC Fast Charger,Commuter
User_296,Hyundai Kona,Chicago,4,Level 1,Casual Driver
User_297,Hyundai Kona,Chicago,0.288408111,Level 1,Commuter
User_298,Chevy Bolt,Chicago,0,Level 2,Commuter
User_299,BMW i3,Houston,5,Level 2,Long-Distance Traveler
User_300,Tesla Model 3,Los Angeles,3,Level 2,Commuter
User_301,Hyundai Kona,Los Angeles,0,Level 1,Long-Distance Traveler
User_302,Hyundai Kona,New York,7,Level 2,Long-Distance Traveler
User_303,Tesla Model 3,Los Angeles,6,Level 1,Casual Driver
User_304,Hyundai Kona,Los Angeles,0,DC Fast Charger,Casual Driver
User_305,Chevy Bolt,Houston,4,Level 2,Casual Driver
User_306,BMW i3,Chicago,7,DC Fast Charger,Casual Driver
User_307,Tesla Model 3,Chicago,2,Level 1,Long-Distance Traveler
User_308,BMW i3,Houston,1.755443935,Level 1,Commuter
User_309,Hyundai Kona,Los Angeles,0,DC Fast Charger,Long-Distance Traveler
User_310,Hyundai Kona,Houston,2,DC Fast Charger,Casual Driver
User_311,Tesla Model 3,New York,1,DC Fast Charger,Commuter
User_312,Chevy Bolt,Chicago,5.685366889,DC Fast Charger,Long-Distance Traveler
User_313,Nissan Leaf,San Francisco,2,Level 2,Commuter
User_314,Tesla Model 3,New York,7,DC Fast Charger,Long-Distance Traveler
User_315,Nissan Leaf,New York,1,Level 2,Commuter
User_316,Nissan Leaf,Houston,1,DC Fast Charger,Commuter
User_317,Chevy Bolt,Los Angeles,7,DC Fast Charger,Casual Driver
User_318,Nissan Leaf,Chicago,6,Level 2,Casual Driver
User_319,Nissan Leaf,San Francisco,2,Level 1,Commuter
User_320,Chevy Bolt,New York,7,Level 1,Commuter
User_321,Nissan Leaf,San Francisco,3,Level 1,Casual Driver
User_322,Nissan Leaf,Los Angeles,6,Level 1,Long-Distance Traveler
User_323,Nissan Leaf,Los Angeles,6,Level 2,Commuter
User_324,Tesla Model 3,San Francisco,6,Level 1,Long-Distance Traveler
User_325,Tesla Model 3,Chicago,3.176061926,Level 2,Casual Driver
User_326,Tesla Model 3,Los Angeles,5,Level 2,Commuter
User_327,Chevy Bolt,San Francisco,1,Level 2,Long-Distance Traveler
User_328,Hyundai Kona,New York,3,Level 2,Casual Driver
User_329,Nissan Leaf,San Francisco,1,Level 2,Commuter
User_330,Nissan Leaf,San Francisco,4,DC Fast Charger,Long-Distance Traveler
User_331,Chevy Bolt,Houston,3,Level 2,Commuter
User_332,Nissan Leaf,Los Angeles,3,Level 1,Long-Distance Traveler
User_333,Tesla Model 3,Chicago,2,Level 2,Long-Distance Traveler
User_334,Hyundai Kona,Chicago,7,Level 1,Commuter
User_335,BMW i3,Houston,3.100169235,Level 2,Casual Driver
User_336,Nissan Leaf,Chicago,7,Level 1,Commuter
User_337,Tesla Model 3,San Francisco,4,Level 2,Casual Driver
User_338,BMW i3,Houston,4,DC Fast Charger,Long-Distance Traveler
User_339,Hyundai Kona,New York,7,Level 1,Long-Distance Traveler
User_340,BMW i3,Los Angeles,7.545586233,Level 1,Long-Distance Traveler
User_341,Tesla Model 3,Los Angeles,1,Level 2,Casual Driver
User_342,BMW i3,Los Angeles,2,Level 1,Long-Distance Traveler
User_343,Chevy Bolt,San Francisco,6,Level 2,Commuter
User_344,BMW i3,New York,0,DC Fast Charger,Long-Distance Traveler
User_345,Nissan Leaf,Houston,2,DC Fast Charger,Casual Driver
User_346,Nissan Leaf,Houston,4,Level 2,Casual Driver
User_347,Chevy Bolt,Los Angeles,7,Level 2,Commuter
User_348,Tesla Model 3,New York,6,DC Fast Charger,Commuter
User_349,Nissan Leaf,New York,5,Level 1,Casual Driver
User_350,Hyundai Kona,New York,0,Level 1,Casual Driver
User_351,Nissan Leaf,Chicago,6,Level 1,Commuter
User_352,Nissan Leaf,Chicago,2,DC Fast Charger,Commuter
User_353,Tesla Model 3,Los Angeles,6,Level 2,Commuter
User_354,BMW i3,New York,3,DC Fast Charger,Commuter
User_355,Nissan Leaf,New York,3,Level 1,Casual Driver
User_356,Chevy Bolt,Houston,0,Level 2,Long-Distance Traveler
User_357,BMW i3,Houston,5,Level 2,Casual Driver
User_358,Hyundai Kona,Los Angeles,1,Level 1,Commuter
User_359,Tesla Model 3,New York,2,Level 2,Casual Driver
User_360,Hyundai Kona,Los Angeles,8.018665733,Level 1,Commuter
User_361,BMW i3,Houston,7,DC Fast Charger,Casual Driver
User_362,BMW i3,Houston,1,Level 2,Commuter
User_363,BMW i3,Chicago,3,Level 1,Commuter
User_364,Hyundai Kona,Los Angeles,10.54723654,Level 1,Casual Driver
User_365,BMW i3,Los Angeles,6,DC Fast Charger,Commuter
User_366,Hyundai Kona,New York,0,Level 2,Long-Distance Traveler
User_367,BMW i3,New York,7,Level 2,Commuter
User_368,Chevy Bolt,Chicago,1,Level 2,Commuter
User_369,BMW i3,San Francisco,4,Level 2,Commuter
User_370,Hyundai Kona,San Francisco,7,DC Fast Charger,Long-Distance Traveler
User_371,Nissan Leaf,San Francisco,4,DC Fast Charger,Casual Driver
User_372,BMW i3,Los Angeles,0,Level 2,Long-Distance Traveler
User_373,Nissan Leaf,Los Angeles,4,Level 1,Long-Distance Traveler
User_374,Chevy Bolt,Houston,3,Level 2,Long-Distance Traveler
User_375,Tesla Model 3,Los Angeles,3,Level 2,Casual Driver
User_376,Chevy Bolt,Los Angeles,3,Level 1,Commuter
User_377,BMW i3,Los Angeles,2,Level 2,Long-Distance Traveler
User_378,Nissan Leaf,Chicago,4,Level 1,Commuter
User_379,Nissan Leaf,Los Angeles,6,DC Fast Charger,Long-Distance Traveler
User_380,Hyundai Kona,New York,5,Level 1,Long-Distance Traveler
User_381,Nissan Leaf,New York,2.53715851,DC Fast Charger,Long-Distance Traveler
User_382,Hyundai Kona,Houston,4,Level 2,Long-Distance Traveler
User_383,Tesla Model 3,Chicago,4,Level 1,Long-Distance Traveler
User_384,BMW i3,New York,1,Level 1,Long-Distance Traveler
User_385,Hyundai Kona,Chicago,7,Level 2,Casual Driver
User_386,Tesla Model 3,Chicago,1.502868788,DC Fast Charger,Commuter
User_387,Nissan Leaf,Houston,2.817901717,Level 1,Commuter
User_388,Nissan Leaf,Chicago,2,Level 1,Casual Driver
User_389,Tesla Model 3,Los Angeles,4,Level 2,Long-Distance Traveler
User_390,Nissan Leaf,Chicago,2,DC Fast Charger,Casual Driver
User_391,Tesla Model 3,Houston,4,Level 2,Casual Driver
User_392,Hyundai Kona,Houston,3,Level 1,Casual Driver
User_393,Hyundai Kona,Houston,7,Level 2,Commuter
User_394,Tesla Model 3,New York,0,Level 2,Casual Driver
User_395,Hyundai Kona,Los Angeles,6,DC Fast Charger,Long-Distance Traveler
User_396,Hyundai Kona,New York,2,DC Fast Charger,Casual Driver
User_397,Hyundai Kona,San Francisco,4,Level 2,Commuter
User_398,Chevy Bolt,Los Angeles,7,Level 2,Commuter
User_399,BMW i3,Chicago,2,Level 2,Long-Distance Traveler
User_400,Nissan Leaf,Houston,7,Level 1,Casual Driver
User_401,Chevy Bolt,San Francisco,1,DC Fast Charger,Long-Distance Traveler
User_402,Hyundai Kona,Los Angeles,3,Level 1,Casual Driver
User_403,Tesla Model 3,New York,3,DC Fast Charger,Long-Distance Traveler
User_404,Hyundai Kona,Houston,3,DC Fast Charger,Long-Distance Traveler
User_405,BMW i3,New York,5,Level 1,Long-Distance Traveler
User_406,Hyundai Kona,Los Angeles,4,Level 1,Commuter
User_407,Tesla Model 3,Los Angeles,7,Level 2,Commuter
User_408,BMW i3,San Francisco,5,DC Fast Charger,Casual Driver
User_409,Hyundai Kona,Chicago,6,DC Fast Charger,Commuter
User_410,BMW i3,New York,7,DC Fast Charger,Long-Distance Traveler
User_411,Nissan Leaf,San Francisco,6,Level 2,Commuter
User_412,Nissan Leaf,Houston,3,DC Fast Charger,Commuter
User_413,Hyundai Kona,Chicago,0,DC Fast Charger,Casual Driver
